pokemon_id,name,pokedex_number,generation,level,type_1,type_2,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,level70_hp,level70_attack,level70_defense,level70_sp_attack,level70_sp_defense,level70_speed,ability_1,ability_2,hidden_ability,source,source_url,gen1_stat_level,gen1_dv_hp,gen1_dv_attack,gen1_dv_defense,gen1_dv_speed,gen1_dv_special,gen1_statexp_hp,gen1_statexp_attack,gen1_statexp_defense,gen1_statexp_speed,gen1_statexp_special,base_special,level70_special,stat_assumption,gen1_crit_threshold,gen1_crit_probability,gen1_high_crit_threshold,gen1_high_crit_probability
1,Bulbasaur,1,1,70,Grass,Poison,45,49,49,65,65,45,207,138,138,160,160,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
18,Pidgeot,18,1,70,Normal,Flying,83,80,75,70,70,91,260,181,174,167,167,196,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,70,167,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
19,Rattata,19,1,70,Normal,,30,56,35,25,25,72,186,147,118,104,104,170,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,25,104,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,36,0.140625,255,0.99609375
20,Raticate,20,1,70,Normal,,55,81,60,50,50,97,221,182,153,139,139,205,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,48,0.1875,255,0.99609375
21,Spearow,21,1,70,Normal,Flying,40,60,30,31,31,70,200,153,111,112,112,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,31,112,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
22,Fearow,22,1,70,Normal,Flying,65,90,65,61,61,100,235,195,160,154,154,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,61,154,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
23,Ekans,23,1,70,Poison,,35,60,44,40,40,55,193,153,131,125,125,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
24,Arbok,24,1,70,Poison,,60,85,69,65,65,80,228,188,166,160,160,181,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,40,0.15625,255,0.99609375
25,Pikachu,25,1,70,Electric,,35,55,30,50,50,90,193,146,111,139,139,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
26,Raichu,26,1,70,Electric,,60,90,55,90,90,100,228,195,146,195,195,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,90,195,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
27,Sandshrew,27,1,70,Ground,,50,75,85,30,30,40,214,174,188,111,111,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,30,111,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
28,Sandslash,28,1,70,Ground,,75,100,110,55,55,65,249,209,223,146,146,160,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,32,0.125,255,0.99609375
29,Nidoran(F),29,1,70,Poison,,55,47,52,40,40,41,221,135,142,125,125,126,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
30,Nidorina,30,1,70,Poison,,70,62,67,55,55,56,242,156,163,146,146,147,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,28,0.109375,224,0.875
31,Nidoqueen,31,1,70,Poison,Ground,90,82,87,75,75,76,270,184,191,174,174,175,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,75,174,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,38,0.1484375,255,0.99609375
32,Nidoran(M),32,1,70,Poison,,46,57,40,40,40,50,208,149,125,125,125,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
33,Nidorino,33,1,70,Poison,,61,72,57,55,55,65,229,170,149,146,146,160,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,32,0.125,255,0.99609375
34,Nidoking,34,1,70,Poison,Ground,81,92,77,75,75,85,257,198,177,174,174,188,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,75,174,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,42,0.1640625,255,0.99609375
35,Clefairy,35,1,70,Normal,,70,45,48,60,60,35,242,132,136,153,153,118,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,60,153,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,17,0.06640625,136,0.53125
36,Clefable,36,1,70,Normal,,95,70,73,85,85,60,277,167,171,188,188,153,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,30,0.1171875,240,0.9375
37,Vulpix,37,1,70,Fire,,38,41,40,65,65,65,197,126,125,160,160,160,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,32,0.125,255,0.99609375
38,Ninetales,38,1,70,Fire,,73,76,75,100,100,100,246,175,174,209,209,209,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,50,0.1953125,255,0.99609375
39,Jigglypuff,39,1,70,Normal,,115,45,20,25,25,20,305,132,97,104,104,97,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,25,104,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,10,0.0390625,80,0.3125
40,Wigglytuff,40,1,70,Normal,,140,70,45,50,50,45,340,167,132,139,139,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
41,Zubat,41,1,70,Poison,Flying,40,45,35,40,40,55,200,132,118,125,125,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
42,Golbat,42,1,70,Poison,Flying,75,80,70,75,75,90,249,181,167,174,174,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,75,174,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
43,Oddish,43,1,70,Grass,Poison,45,50,55,75,75,30,207,139,146,174,174,111,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,75,174,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,15,0.05859375,120,0.46875
44,Gloom,44,1,70,Grass,Poison,60,65,70,85,85,40,228,160,167,188,188,125,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,85,188,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,20,0.078125,160,0.625
45,Vileplume,45,1,70,Grass,Poison,75,80,85,100,100,50,249,181,188,209,209,139,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,100,209,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,25,0.09765625,200,0.78125
46,Paras,46,1,70,Bug,Grass,35,70,55,55,55,25,193,167,146,146,146,104,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,55,146,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,12,0.046875,96,0.375
47,Parasect,47,1,70,Bug,Grass,60,95,80,80,80,30,228,202,181,181,181,111,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,15,0.05859375,120,0.46875
48,Venonat,48,1,70,Bug,Poison,60,55,50,40,40,45,228,146,139,125,125,132,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,22,0.0859375,176,0.6875
49,Venomoth,49,1,70,Bug,Poison,70,65,60,90,90,90,242,160,153,195,195,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,90,195,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
50,Diglett,50,1,70,Ground,,10,55,25,45,45,95,158,146,104,132,132,202,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,45,132,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,47,0.18359375,255,0.99609375
51,Dugtrio,51,1,70,Ground,,35,80,50,70,70,120,193,181,139,167,167,237,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,70,167,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,60,0.234375,255,0.99609375
52,Meowth,52,1,70,Normal,,40,45,35,40,40,90,200,132,118,125,125,195,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,40,125,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,45,0.17578125,255,0.99609375
53,Persian,53,1,70,Normal,,65,70,60,65,65,115,235,167,153,160,160,230,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,65,160,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,57,0.22265625,255,0.99609375
54,Psyduck,54,1,70,Water,,50,52,48,50,50,55,214,142,136,139,139,146,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,50,139,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,27,0.10546875,216,0.84375
55,Golduck,55,1,70,Water,,80,82,78,80,80,85,256,184,178,181,181,188,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,80,181,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,42,0.1640625,255,0.99609375
56,Mankey,56,1,70,Fighting,,40,80,35,35,35,70,200,181,118,118,118,167,,,,Bulbapedia Gen I base stats; user-provided FirstGenPokemon.csv cross-check,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_by_base_stats_in_Generation_I,70,15,15,15,15,15,63001,63001,63001,63001,63001,35,118,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70,35,0.13671875,255,0.99609375
