pokemon_id,name,type_1,type_2,level,level70_hp,level70_attack,level70_defense,level70_special,level70_speed,available_move_count,coverage_types,super_effective_types,weakness_types,immunity_types,stat_assumption
15,Beedrill,Bug,Poison,70,235,181,125,132,174,23,Bug;Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Psychic;Rock,Bug;Fire;Flying;Psychic;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
16,Pidgey,Normal,Flying,70,200,132,125,118,147,22,Flying;Ground;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
17,Pidgeotto,Normal,Flying,70,232,153,146,139,168,23,Flying;Ground;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
18,Pidgeot,Normal,Flying,70,260,181,174,167,196,25,Flying;Ground;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
19,Rattata,Normal,,70,186,147,118,104,170,24,Electric;Ground;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
20,Raticate,Normal,,70,221,182,153,139,205,27,Electric;Ground;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
21,Spearow,Normal,Flying,70,200,153,111,112,167,21,Flying;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
22,Fearow,Normal,Flying,70,235,195,160,154,209,23,Flying;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
23,Ekans,Poison,,70,193,153,131,125,146,24,Grass;Ground;Normal;Poison;Psychic;Rock,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
24,Arbok,Poison,,70,228,188,166,160,181,26,Grass;Ground;Normal;Poison;Psychic;Rock,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
25,Pikachu,Electric,,70,193,146,111,139,195,29,Electric;Fighting;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
26,Raichu,Electric,,70,228,195,146,195,209,26,Electric;Fighting;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
27,Sandshrew,Ground,,70,214,174,188,111,125,27,Fighting;Ground;Normal;Poison;Psychic;Rock,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
28,Sandslash,Ground,,70,249,209,223,146,160,29,Fighting;Ground;Normal;Poison;Psychic;Rock,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
29,Nidoran(F),Poison,,70,221,135,142,125,126,23,Electric;Fighting;Ice;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
30,Nidorina,Poison,,70,242,156,163,146,147,28,Electric;Fighting;Ice;Normal;Poison;Psychic;Water,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
31,Nidoqueen,Poison,Ground,70,270,184,191,174,175,39,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Bug;Ground;Ice;Psychic;Water,Bug;Ground;Ice;Psychic;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
32,Nidoran(M),Poison,,70,208,149,125,125,139,24,Electric;Fighting;Ice;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
33,Nidorino,Poison,,70,229,170,149,146,160,28,Electric;Fighting;Ice;Normal;Poison;Psychic;Water,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
34,Nidoking,Poison,Ground,70,257,198,177,174,188,39,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Rock;Water,Bug;Ground;Ice;Psychic;Water,Bug;Ground;Ice;Psychic;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
35,Clefairy,Normal,,70,242,132,136,153,118,41,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
36,Clefable,Normal,,70,277,167,171,188,153,38,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
37,Vulpix,Fire,,70,197,126,125,160,160,22,Fire;Ghost;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
38,Ninetales,Fire,,70,246,175,174,209,209,20,Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
39,Jigglypuff,Normal,,70,305,132,97,104,97,40,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
40,Wigglytuff,Normal,,70,340,167,132,139,132,37,Electric;Fighting;Fire;Grass;Ice;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
41,Zubat,Poison,Flying,70,200,132,118,125,146,19,Bug;Flying;Ghost;Grass;Ice;Normal;Poison;Psychic,Electric;Ice;Psychic;Rock,Electric;Ice;Psychic;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
42,Golbat,Poison,Flying,70,249,181,167,174,195,22,Bug;Flying;Ghost;Grass;Ice;Normal;Poison;Psychic,Electric;Ice;Psychic;Rock,Electric;Ice;Psychic;Rock,Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
43,Oddish,Grass,Poison,70,207,139,146,174,111,21,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
44,Gloom,Grass,Poison,70,228,160,167,188,125,23,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
45,Vileplume,Grass,Poison,70,249,181,188,209,139,23,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
46,Paras,Bug,Grass,70,193,167,146,146,104,23,Bug;Grass;Ground;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Poison;Rock,Bug;Fire;Flying;Ice;Poison;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
47,Parasect,Bug,Grass,70,228,202,181,181,111,26,Bug;Grass;Ground;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Poison;Rock,Bug;Fire;Flying;Ice;Poison;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
48,Venonat,Bug,Poison,70,228,146,139,125,132,22,Bug;Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Psychic;Rock,Bug;Fire;Flying;Psychic;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
49,Venomoth,Bug,Poison,70,242,160,153,195,195,29,Bug;Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Psychic;Rock,Bug;Fire;Flying;Psychic;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
50,Diglett,Ground,,70,158,146,104,132,202,20,Ground;Normal;Poison;Psychic;Rock,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
51,Dugtrio,Ground,,70,193,181,139,167,237,23,Ground;Normal;Poison;Psychic;Rock,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
52,Meowth,Normal,,70,200,132,118,125,195,24,Electric;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
53,Persian,Normal,,70,235,167,153,160,230,27,Electric;Normal;Poison;Psychic;Water,Fighting,Fighting,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
54,Psyduck,Water,,70,214,142,136,139,146,31,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
55,Golduck,Water,,70,256,184,178,181,188,34,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
56,Mankey,Fighting,,70,200,181,118,118,167,31,Electric;Fighting;Ground;Normal;Poison;Psychic;Rock,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
57,Primeape,Fighting,,70,235,216,153,153,202,34,Electric;Fighting;Ground;Normal;Poison;Psychic;Rock,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
58,Growlithe,Fire,,70,221,167,132,139,153,23,Dragon;Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
59,Arcanine,Fire,,70,270,223,181,181,202,22,Dragon;Fire;Ground;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
60,Poliwag,Water,,70,200,139,125,125,195,25,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
61,Poliwhirl,Water,,70,235,160,160,139,195,36,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
62,Poliwrath,Water,Fighting,70,270,188,202,167,167,34,Fighting;Ground;Ice;Normal;Poison;Psychic;Water,Electric;Flying;Grass;Psychic,Electric;Flying;Grass;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
63,Abra,Psychic,,70,179,97,90,216,195,25,Electric;Fighting;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
64,Kadabra,Psychic,,70,200,118,111,237,216,34,Electric;Fighting;Ground;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
65,Alakazam,Psychic,,70,221,139,132,258,237,35,Electric;Fighting;Ground;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
66,Machop,Fighting,,70,242,181,139,118,118,29,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
67,Machoke,Fighting,,70,256,209,167,139,132,31,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
68,Machamp,Fighting,,70,270,251,181,160,146,32,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
69,Bellsprout,Grass,Poison,70,214,174,118,167,125,23,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
70,Weepinbell,Grass,Poison,70,235,195,139,188,146,24,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
71,Victreebel,Grass,Poison,70,256,216,160,209,167,23,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Psychic,Bug;Fire;Flying;Ice;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
72,Tentacool,Water,Poison,70,200,125,118,209,167,28,Grass;Ice;Normal;Poison;Psychic;Water,Bug;Electric;Ground;Psychic,Bug;Electric;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
73,Tentacruel,Water,Poison,70,256,167,160,237,209,31,Grass;Ice;Normal;Poison;Psychic;Water,Bug;Electric;Ground;Psychic,Bug;Electric;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
74,Geodude,Rock,Ground,70,200,181,209,111,97,30,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
75,Graveler,Rock,Ground,70,221,202,230,132,118,31,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
76,Golem,Rock,Ground,70,256,223,251,146,132,33,Fighting;Fire;Ground;Normal;Poison;Psychic;Rock,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
77,Ponyta,Fire,,70,214,188,146,160,195,22,Fire;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
78,Rapidash,Fire,,70,235,209,167,181,216,26,Fire;Normal;Poison;Psychic,Ground;Rock;Water,Ground;Rock;Water,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
79,Slowpoke,Water,Psychic,70,270,160,160,125,90,37,Electric;Fire;Ground;Ice;Normal;Poison;Psychic;Water,Bug;Electric;Grass,Bug;Electric;Grass,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
80,Slowbro,Water,Psychic,70,277,174,223,181,111,46,Electric;Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Water,Bug;Electric;Grass,Bug;Electric;Grass,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
81,Magnemite,Electric,,70,179,118,167,202,132,23,Electric;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
82,Magneton,Electric,,70,214,153,202,237,167,26,Electric;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
83,Farfetchd,Normal,Flying,70,217,160,146,150,153,25,Flying;Ground;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
84,Doduo,Normal,Flying,70,193,188,132,118,174,23,Flying;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
85,Dodrio,Normal,Flying,70,228,223,167,153,209,26,Flying;Normal;Poison;Psychic,Electric;Ice;Rock,Electric;Ice;Rock,Ghost;Ground,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
86,Seel,Water,,70,235,132,146,167,132,25,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
87,Dewgong,Water,Ice,70,270,167,181,202,167,28,Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Rock,Electric;Fighting;Grass;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
88,Grimer,Poison,,70,256,181,139,125,104,22,Electric;Fire;Grass;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
89,Muk,Poison,,70,291,216,174,160,139,24,Electric;Fire;Grass;Normal;Poison;Psychic,Bug;Ground;Psychic,Bug;Ground;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
90,Shellder,Water,,70,186,160,209,132,125,27,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
91,Cloyster,Water,Ice,70,214,202,321,188,167,26,Ice;Normal;Poison;Psychic;Water,Electric;Fighting;Grass;Rock,Electric;Fighting;Grass;Rock,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
92,Gastly,Ghost,Poison,70,186,118,111,209,181,20,Electric;Ghost;Grass;Normal;Poison;Psychic,Ground,Ground,Fighting;Normal;Psychic,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
93,Haunter,Ghost,Poison,70,207,139,132,230,202,20,Electric;Ghost;Grass;Normal;Poison;Psychic,Ground,Ground,Fighting;Normal;Psychic,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
94,Gengar,Ghost,Poison,70,228,160,153,251,223,32,Electric;Fighting;Ghost;Grass;Normal;Poison;Psychic,Ground,Ground,Fighting;Normal;Psychic,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
95,Onix,Rock,Ground,70,193,132,293,111,167,25,Ground;Normal;Poison;Psychic;Rock,Fighting;Grass;Ground;Ice;Water,Fighting;Grass;Ground;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
96,Drowzee,Psychic,,70,228,136,132,195,128,33,Electric;Fighting;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
97,Hypno,Psychic,,70,263,171,167,230,163,36,Electric;Fighting;Normal;Poison;Psychic,Bug,Bug,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
98,Krabby,Water,,70,186,216,195,104,139,25,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
99,Kingler,Water,,70,221,251,230,139,174,27,Ice;Normal;Poison;Psychic;Water,Electric;Grass,Electric;Grass,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
100,Voltorb,Electric,,70,200,111,139,146,209,24,Electric;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
101,Electrode,Electric,,70,228,139,167,181,265,27,Electric;Normal;Poison;Psychic,Ground,Ground,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
102,Exeggcute,Grass,Psychic,70,228,125,181,153,125,24,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Poison,Bug;Fire;Flying;Ice;Poison,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
103,Exeggutor,Grass,Psychic,70,277,202,188,244,146,23,Grass;Normal;Poison;Psychic,Bug;Fire;Flying;Ice;Poison,Bug;Fire;Flying;Ice;Poison,Ghost,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
104,Cubone,Ground,,70,214,139,202,125,118,32,Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Water,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
105,Marowak,Ground,,70,228,181,223,139,132,35,Fighting;Fire;Ground;Ice;Normal;Poison;Psychic;Water,Grass;Ice;Water,Grass;Ice;Water,Electric,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
106,Hitmonlee,Fighting,,70,214,237,143,118,191,25,Fighting;Normal;Poison;Psychic,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
107,Hitmonchan,Fighting,,70,214,216,180,118,175,26,Electric;Fighting;Fire;Ice;Normal;Poison;Psychic,Flying;Psychic,Flying;Psychic,,Gen I benchmark: DV=15 and Stat EXP=63001 in HP/Attack/Defense/Speed/Special; Level 70
