gym_id,team_position,pokemon_id,pokemon_name,level,move_1,move_2,move_3,move_4,ability,source,source_url
6,2,122,Mr. Mime,70,Psychic,Barrier,Light Screen,Meditate,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
6,3,49,Venomoth,70,Psychic,Sleep Powder,Stun Spore,Psybeam,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
6,4,65,Alakazam,70,Psychic,Recover,Reflect,Seismic Toss,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
7,1,58,Growlithe,70,Flamethrower,Ember,Agility,Take Down,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
7,2,77,Ponyta,70,Fire Blast,Ember,Agility,Growl,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
7,3,78,Rapidash,70,Fire Blast,Ember,Agility,Take Down,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
7,4,59,Arcanine,70,Fire Blast,Ember,Take Down,Double-edge,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
8,1,111,Rhyhorn,70,Earthquake,Rock Slide,Horn Attack,Take Down,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
8,2,51,Dugtrio,70,Earthquake,Slash,Rock Slide,Double-edge,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
8,3,31,Nidoqueen,70,Earthquake,Body Slam,Ice Beam,Thunderbolt,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
8,4,34,Nidoking,70,Earthquake,Thunderbolt,Ice Beam,Body Slam,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
8,5,112,Rhydon,70,Earthquake,Rock Slide,Body Slam,Take Down,,"Canonical Pokémon Red/Blue Gym Leader roster (organizer-added; not in original upload), movesets chosen from supplied pokemon_moves.csv",https://bulbapedia.bulbagarden.net/wiki/Gym_Leader
